asst,lhnf,sst,Evap,Tran,gp,at,tmax,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,runoff
277.316162,17.8105145,277.316162,0.00000722,0.000000413,953.64,4.58,9.59,-0.12,1.73,7.171875,22.570312,27.976562,130.19531,186.36719,413.9922
275.386444,8.44357777,275.386444,0.00000342,3.88E-09,949.25,2.28,7.18,-2.14,0.22,7.171875,22.554688,27.984375,129.75,184.64844,410.20312
281.70517,23.3504543,281.70517,0.00000947,0.000000722,949.44,6.87,11.78,-2.14,3.14,7.15625,22.4375,27.84375,128.82031,183.13281,406.3047
278.929138,9.31645966,278.929138,0.00000378,3.21E-09,953.52,5.58,7.43,3.72,3.64,7.046875,22.125,27.484375,127.734375,182.21875,402.76562
277.911469,9.96996117,277.911469,0.00000404,1.37E-09,955.36,4.96,7.27,0.76,2.32,6.953125,21.859375,27.125,126.546875,181.48438,399.85938
278.836548,22.1939011,278.836548,0.000009,0.00000079,956.19,6.41,10.7,0.68,2.63,6.890625,21.65625,26.84375,125.1875,180.35938,397.48438
278.499084,15.2286549,278.499084,0.00000617,0.000000125,949.52,5.58,9.57,1.6,2.58,6.828125,21.453125,26.609375,124.125,178.89062,395.0625
280.718262,20.1766319,280.718262,0.00000818,0.000000504,950.33,6.84,10.08,1.39,3.09,6.796875,21.296875,26.40625,123.828125,177.32812,392.17188
280.901794,37.1643829,280.901794,0.0000151,0.000000686,956.21,7.62,11.53,3.41,-0.4,6.734375,21.125,26.1875,123.265625,175.90625,388.70312
277.691376,42.8788986,277.691376,0.0000174,0.000000464,961.3,5.25,10.76,-2.06,-5.73,6.671875,20.921875,25.953125,121.984375,174.71875,385.0625
276.566223,27.8091164,276.566223,0.0000113,0.000000618,959.73,3.54,9.37,-2.63,-3.05,6.609375,20.71875,25.703125,120.546875,173.5,381.84375
278.737122,27.3557034,278.737122,0.0000111,0.000000668,958.74,5.72,10.2,-1.93,-0.02,6.546875,20.515625,25.453125,119.171875,171.9375,378.92188
279.949402,21.6067238,279.949402,0.00000876,0.00000019,955.66,6.9,9.7,2.27,0.91,6.46875,20.3125,25.203125,117.96875,170.1875,375.76562
281.346497,30.6888008,281.346497,0.0000124,0.00000114,960.5,7.75,14.18,2.24,1.9,6.421875,20.140625,24.984375,116.828125,168.4375,372.35938
278.838745,14.4663305,278.838745,0.00000587,0.000000154,960.05,6.2,9.85,0.69,3.19,6.359375,19.953125,24.765625,115.828125,166.79688,368.82812
279.661469,19.6287899,279.661469,0.00000796,0.000000559,957.91,6.5,10.76,0.26,3.45,6.296875,19.75,24.546875,114.828125,165.34375,365.39062
282.414612,22.4611721,282.414612,0.00000911,0.00000063,950.42,8.52,11.38,2.74,4.69,6.265625,19.59375,24.328125,113.75,163.875,362.10938
283.161163,20.6156807,283.161163,0.00000836,0.000000203,949.01,9.41,11.62,7.4,4.68,6.8125,20.375,24.984375,113.25,162.64062,358.92188
279.582428,61.1222343,279.582428,0.0000248,1.27E-13,955.75,6.98,7.83,5.44,-8.35,7.171875,21.03125,25.9375,114.125,162.07812,356.10938
280.858673,35.1307259,280.858673,0.0000142,0.000000176,958.62,7.69,10.54,3.92,-1.71,6.84375,20.40625,25.484375,115.25,161.95312,354.625
279.389343,33.1591415,279.389343,0.0000134,2.04E-14,961.3,4.71,6.62,3.6,-2.33,6.46875,19.75,24.609375,114.546875,161.39062,355.0625
279.61554,10.9840364,279.61554,0.00000445,3.06E-10,955.79,5.13,6.24,4.15,3.45,6.28125,19.359375,24.0625,112.578125,161.26562,357.375
278.829437,24.2159328,278.829437,0.00000982,0.000000489,956.59,6.22,12.24,-0.41,1.4,6.1875,19.125,23.765625,110.625,161.70312,361.32812
280.931,32.578167,280.931,0.0000132,0.00000105,959.04,6.54,11.94,-0.6,1.88,6.140625,19,23.578125,109.25,161.29688,365.48438
279.757904,23.6022396,279.757904,0.00000957,0.000000272,950.32,6.86,10.41,2.8,1.93,6.078125,18.84375,23.40625,108.65625,159.4375,365.59375
280.664337,34.083828,280.664337,0.0000138,0.00000155,950.11,6.56,13.45,0.43,0.74,6.03125,18.671875,23.203125,107.984375,157.84375,361.67188
281.710541,34.2648239,281.710541,0.0000139,0.00000175,952.44,8.62,14.92,0.26,2.67,6.140625,18.828125,23.21875,107.140625,156.60938,356.82812
282.477325,29.0690136,282.477325,0.0000118,0.00000108,950.7,9.04,13.61,3.75,4.3,6.234375,18.9375,23.375,107.3125,155.73438,351.98438
283.11377,27.5363503,283.11377,0.0000112,0.00000114,949.84,10.18,14.69,3.42,4.68,6.0625,18.640625,23.171875,109.1875,155.39062,347.59375
281.002716,25.1053982,281.002716,0.0000102,0.000000778,950.42,7.9,12.02,3.47,4.13,5.984375,18.40625,22.84375,111.703125,155.82812,344.875
281.834595,38.1608429,281.834595,0.0000155,0.00000141,949.26,8.86,12.63,4.56,2.44,5.921875,18.25,22.65625,113.453125,156.65625,344.10938
282.354767,37.1435509,282.354767,0.0000151,0.00000132,950.68,9.21,14.37,6.18,2.45,5.890625,18.109375,22.484375,114.46875,157.60938,344.625
278.923309,13.948308,278.923309,0.00000566,3.81E-09,952.48,5.22,8.43,2.13,2.57,5.859375,18,22.359375,115.125,158.8125,346.23438
280.302338,23.8648548,280.302338,0.00000968,0.00000052,950.82,7.19,10.1,2.62,3.52,5.828125,17.890625,22.234375,115.15625,160.29688,349.25
281.392151,23.929882,281.392151,0.0000097,0.000000642,949.42,6.9,10.94,2.43,3.6,5.78125,17.765625,22.078125,114,160.96875,353.35938
282.485718,27.2458248,282.485718,0.000011,0.000000656,949.16,8.96,12.18,3.16,4.21,5.75,17.625,21.9375,111.875,160.71875,356.34375
